sku,name,category,cost_price_tzs,selling_price_tzs,reorder_level,description,image_url
JUICE001,Minute Maid Orange Juice 200ml,Beverages,1200,1800,50,Orange juice concentrate,https://via.placeholder.com/200?text=Orange+Juice
WATER001,Pure Water 500ml,Beverages,300,500,100,Purified drinking water,https://via.placeholder.com/200?text=Pure+Water
MILK001,Ushindi Milk 500ml,Dairy,1500,2100,40,Fresh cow milk,https://via.placeholder.com/200?text=Fresh+Milk
CHEESE001,Kraft Cheddar Cheese 200g,Dairy,4000,5500,15,Sliced cheddar cheese,https://via.placeholder.com/200?text=Cheddar+Cheese
YOGURT001,Bio Yogurt 175g,Dairy,1800,2500,30,Probiotic yogurt,https://via.placeholder.com/200?text=Bio+Yogurt
BUTTER001,Farmers Butter 200g,Dairy,3500,5000,20,Pure butter,https://via.placeholder.com/200?text=Butter
TEA001,Tanganda Tea 100g,Beverages,1800,2500,30,Black tea leaves,https://via.placeholder.com/200?text=Black+Tea
COFFEE001,Nespresso Coffee 100g,Beverages,4500,6500,20,Ground coffee beans,https://via.placeholder.com/200?text=Coffee+Beans
SUGAR001,Tanzanite Sugar 1kg,Cooking,2000,2500,50,White sugar,https://via.placeholder.com/200?text=Sugar+1kg
GINGER001,Fresh Ginger 100g,Spices,1500,2300,10,Dried ginger powder,https://via.placeholder.com/200?text=Ginger+Powder
CINNAMON001,Cinnamon Powder 50g,Spices,2500,3500,10,Ground cinnamon,https://via.placeholder.com/200?text=Cinnamon
HONEY001,Pumbaa Natural Honey 500ml,Cooking,5000,7000,20,Raw honey,https://via.placeholder.com/200?text=Natural+Honey
EGGS001,Chicken Eggs 1 Dozen,Dairy,2500,3500,50,Fresh farm eggs,https://via.placeholder.com/200?text=Chicken+Eggs
BREAD001,Sunflower Bread 800g,Grains,1500,2200,40,Fresh wheat bread,https://via.placeholder.com/200?text=Wheat+Bread
WHEAT001,Wheat Grains 5kg,Grains,4500,5500,20,Quality wheat,https://via.placeholder.com/200?text=Wheat+Grains
BEANS001,Red Beans 1kg,Grains,1800,2500,30,Dried red beans,https://via.placeholder.com/200?text=Red+Beans
LENTILS001,Red Lentils 1kg,Grains,2500,3500,20,Dried lentils,https://via.placeholder.com/200?text=Red+Lentils
BISCUITS001,Krunch Biscuits 300g,Grains,1200,1800,50,Crunchy biscuits,https://via.placeholder.com/200?text=Biscuits
CHOCOLATE001,Cadbury Chocolate 50g,Spices,1500,2300,40,Milk chocolate bar,https://via.placeholder.com/200?text=Chocolate
MILO001,Milo Powder 400g,Beverages,3500,5000,30,Malt drink powder,https://via.placeholder.com/200?text=Milo+Powder
NOODLES001,Indomie Instant Noodles 80g,Grains,600,1000,100,Instant noodles pack,https://via.placeholder.com/200?text=Instant+Noodles
TOMATO001,Tomato Paste 70g,Cooking,800,1200,50,Tomato concentrate,https://via.placeholder.com/200?text=Tomato+Paste
ONION001,Dried Onions 100g,Spices,1500,2300,20,Dried onion flakes,https://via.placeholder.com/200?text=Dried+Onions
CHILLI001,Chilli Paste 100g,Spices,1800,2800,15,Hot chilli paste,https://via.placeholder.com/200?text=Chilli+Paste
VINEGAR001,White Vinegar 500ml,Cooking,1000,1500,30,Pure vinegar,https://via.placeholder.com/200?text=White+Vinegar
SOY001,Soy Sauce 200ml,Cooking,1200,1800,25,Seasoning sauce,https://via.placeholder.com/200?text=Soy+Sauce
CORN001,Corn Oil 1L,Cooking,4500,5800,20,Polyunsaturated corn oil,https://via.placeholder.com/200?text=Corn+Oil
PEANUT001,Peanut Butter 400g,Cooking,2500,3800,25,Creamy peanut butter,https://via.placeholder.com/200?text=Peanut+Butter
HONEY_JAR001,Honey in Jar 500g,Cooking,4500,6500,15,Pure honey jar,https://via.placeholder.com/200?text=Honey+Jar
COCONUT001,Coconut Oil 500ml,Cooking,3500,5000,20,Virgin coconut oil,https://via.placeholder.com/200?text=Coconut+Oil
OKRA001,Dried Okra 100g,Spices,1200,1800,15,Dried okra powder,https://via.placeholder.com/200?text=Dried+Okra
LEMON001,Lemon Juice 500ml,Cooking,1500,2300,20,Pure lemon juice,https://via.placeholder.com/200?text=Lemon+Juice
PAPRIKA001,Paprika Powder 100g,Spices,2000,3000,10,Red paprika spice,https://via.placeholder.com/200?text=Paprika
